"Albania","0.00","0.00","0.00","2400.00","0.00","0.00","2400.00","0.00","0.00","0.00","100.00","0.00","0.00"
"Algeria","0.00","47922.00","1332.00","9.60","0.00","0.00","49263.60","0.00","97.28","2.70","0.02","0.00","0.00"
"Angola","0.00","0.00","34632.00","1276.80","0.00","0.00","35908.80","0.00","0.00","96.44","3.56","0.00","0.00"
"Argentina","2378.00","23373.00","10212.00","696.00","102.50","49.20","36810.70","6.46","63.50","27.74","1.89","0.28","0.13"
"Armenia","0.00","20776.00","0.00","616.80","4.10","381.60","21778.50","0.00","95.40","0.00","2.83","0.02","1.75"
"Australia","50184.00","10731.00","1480.00","177.60","307.50","0.00","62880.10","79.81","17.07","2.35","0.28","0.49","0.00"
"Austria","6560.00","4312.00","740.00","1598.40","598.60","0.00","13809.00","47.51","31.23","5.36","11.58","4.33","0.00"
"Azerbaijan","0.00","46011.00","148.00","127.20","16.40","0.00","46302.60","0.00","99.37","0.32","0.27","0.04","0.00"
"Bahrain","0.00","49000.00","0.00","0.00","0.00","0.00","49000.00","0.00","100.00","0.00","0.00","0.00","0.00"
"Bangladesh","1640.00","40180.00","10878.00","26.40","12.30","0.00","52736.70","3.11","76.19","20.63","0.05","0.02","0.00"
"Belarus","82.00","48020.00","814.00","7.20","16.40","0.00","48939.60","0.17","98.12","1.66","0.01","0.03","0.00"
"Belgium","5084.00","13230.00","222.00","9.60","680.60","566.40","19792.60","25.69","66.84","1.12","0.05","3.44","2.86"
"Benin","0.00","0.00","73630.00","0.00","20.50","0.00","73650.50","0.00","0.00","99.97","0.00","0.03","0.00"
"Bolivia","0.00","34300.00","1480.00","616.80","94.30","0.00","36491.10","0.00","94.00","4.06","1.69","0.26","0.00"
"Bosnia and Herzegovina","51496.00","98.00","222.00","880.80","0.00","0.00","52696.80","97.72","0.19","0.42","1.67","0.00","0.00"
"Botswana","78556.00","0.00","3108.00","0.00","0.00","0.00","81664.00","96.19","0.00","3.81","0.00","0.00","0.00"
"Brazil","3690.00","6713.00","4440.00","1516.80","405.90","31.20","16796.90","21.97","39.97","26.43","9.03","2.42","0.19"
"Brunei Darussalam","0.00","48510.00","740.00","0.00","0.00","0.00","49250.00","0.00","98.50","1.50","0.00","0.00","0.00"
"Bulgaria","37228.00","2254.00","296.00","235.20","241.90","405.60","40660.70","91.56","5.54","0.73","0.58","0.59","1.00"
"Cambodia","23124.00","0.00","7918.00","1452.00","24.60","0.00","32518.60","71.11","0.00","24.35","4.47","0.08","0.00"
"Cameroon","0.00","6321.00","9472.00","1756.80","41.00","0.00","17590.80","0.00","35.93","53.85","9.99","0.23","0.00"
"Canada","8118.00","4606.00","888.00","1399.20","184.50","196.80","15392.50","52.74","29.92","5.77","9.09","1.20","1.28"
"Chile","28946.00","8281.00","4588.00","751.20","401.80","0.00","42968.00","67.37","19.27","10.68","1.75","0.94","0.00"
"China","59532.00","980.00","148.00","446.40","168.10","27.60","61302.10","97.11","1.60","0.24","0.73","0.27","0.05"
"Hong Kong SAR, China","62484.00","11270.00","444.00","0.00","8.20","0.00","74206.20","84.20","15.19","0.60","0.00","0.01","0.00"
"Colombia","8364.00","7497.00","148.00","1706.40","127.10","0.00","17842.50","46.88","42.02","0.83","9.56","0.71","0.00"
"Congo, Dem. Rep.","0.00","49.00","0.00","2397.60","0.00","0.00","2446.60","0.00","2.00","0.00","98.00","0.00","0.00"
"Congo, Rep.","0.00","22197.00","0.00","1312.80","0.00","0.00","23509.80","0.00","94.42","0.00","5.58","0.00","0.00"
"Costa Rica","0.00","0.00","7548.00","1576.80","984.00","0.00","10108.80","0.00","0.00","74.67","15.60","9.73","0.00"
"Cote d'Ivoire","0.00","34251.00","4514.00","554.40","32.80","0.00","39352.20","0.00","87.04","11.47","1.41","0.08","0.00"
"Croatia","14432.00","3675.00","740.00","1608.00","282.90","0.00","20737.90","69.59","17.72","3.57","7.75","1.36","0.00"
"Cuba","0.00","7056.00","60384.00","12.00","143.50","0.00","67595.50","0.00","10.44","89.33","0.02","0.21","0.00"
"Curacao","0.00","0.00","71336.00","0.00","147.60","0.00","71483.60","0.00","0.00","99.79","0.00","0.21","0.00"
"Cyprus","0.00","0.00","68598.00","0.00","299.30","0.00","68897.30","0.00","0.00","99.57","0.00","0.43","0.00"
"Czech Republic","42230.00","931.00","0.00","52.80","348.50","428.40","43990.70","96.00","2.12","0.00","0.12","0.79","0.97"
"Denmark","28208.00","3185.00","740.00","0.00","2287.80","0.00","34420.80","81.95","9.25","2.15","0.00","6.65","0.00"
"Dominican Republic","10906.00","10535.00","38406.00","204.00","192.70","0.00","60243.70","18.10","17.49","63.75","0.34","0.32","0.00"
"Ecuador","0.00","6517.00","27750.00","1130.40","82.00","0.00","35479.40","0.00","18.37","78.21","3.19","0.23","0.00"
"Egypt, Arab Rep.","0.00","38563.00","9028.00","194.40","36.90","0.00","47822.30","0.00","80.64","18.88","0.41","0.08","0.00"
"El Salvador","0.00","0.00","29822.00","662.40","1316.10","0.00","31800.50","0.00","0.00","93.78","2.08","4.14","0.00"
"Eritrea","0.00","0.00","73630.00","0.00","20.50","0.00","73650.50","0.00","0.00","99.97","0.00","0.03","0.00"
"Estonia","71668.00","294.00","222.00","4.80","446.90","0.00","72635.70","98.67","0.40","0.31","0.01","0.62","0.00"
"Ethiopia","0.00","0.00","74.00","2294.40","176.30","0.00","2544.70","0.00","0.00","2.91","90.16","6.93","0.00"
"Finland","14268.00","3969.00","222.00","472.80","774.90","415.20","20121.90","70.91","19.72","1.10","2.35","3.85","2.06"
"France","1804.00","1127.00","222.00","271.20","209.10","940.80","4574.10","39.44","24.64","4.85","5.93","4.57","20.57"
"Gabon","0.00","19061.00","19980.00","806.40","20.50","0.00","39867.90","0.00","47.81","50.12","2.02","0.05","0.00"
"Georgia","0.00","9604.00","0.00","1929.60","0.00","0.00","11533.60","0.00","83.27","0.00","16.73","0.00","0.00"
"Germany","37556.00","4900.00","666.00","74.40","943.00","187.20","44326.60","84.73","11.05","1.50","0.17","2.13","0.42"
"Ghana","0.00","8918.00","12654.00","1552.80","0.00","0.00","23124.80","0.00","38.56","54.72","6.71","0.00","0.00"
"Greece","41902.00","6615.00","8140.00","213.60","627.30","0.00","57497.90","72.88","11.50","14.16","0.37","1.09","0.00"
"Guatemala","14186.00","0.00","10434.00","1084.80","959.40","0.00","26664.20","53.20","0.00","39.13","4.07","3.60","0.00"
"Haiti","0.00","0.00","67562.00","208.80","0.00","0.00","67770.80","0.00","0.00","99.69","0.31","0.00","0.00"
"Honduras","410.00","0.00","41218.00","777.60","471.50","0.00","42877.10","0.96","0.00","96.13","1.81","1.10","0.00"
"Hungary","17056.00","7056.00","148.00","24.00","397.70","639.60","25321.30","67.36","27.87","0.58","0.09","1.57","2.53"
"Iceland","0.00","0.00","0.00","1704.00","1184.90","0.00","2888.90","0.00","0.00","0.00","58.98","41.02","0.00"
"India","61582.00","2401.00","1332.00","244.80","213.20","33.60","65806.60","93.58","3.65","2.02","0.37","0.32","0.05"
"Indonesia","43132.00","12054.00","8362.00","158.40","196.80","0.00","63903.20","67.50","18.86","13.09","0.25","0.31","0.00"
"Iran, Islamic Rep.","164.00","34937.00","16058.00","120.00","4.10","19.20","51302.30","0.32","68.10","31.30","0.23","0.01","0.04"
"Iraq","0.00","10731.00","54538.00","103.20","0.00","0.00","65372.20","0.00","16.42","83.43","0.16","0.00","0.00"
"Ireland","20418.00","24304.00","518.00","64.80","893.80","0.00","46198.60","44.20","52.61","1.12","0.14","1.93","0.00"
"Israel","40672.00","23716.00","370.00","0.00","61.50","0.00","64819.50","62.75","36.59","0.57","0.00","0.09","0.00"
"Italy","13694.00","16513.00","3774.00","506.40","914.30","0.00","35401.70","38.68","46.64","10.66","1.43","2.58","0.00"
"Jamaica","0.00","0.00","66748.00","79.20","266.50","0.00","67093.70","0.00","0.00","99.48","0.12","0.40","0.00"
"Japan","27634.00","19894.00","8288.00","189.60","250.10","0.00","56255.70","49.12","35.36","14.73","0.34","0.44","0.00"
"Jordan","0.00","3479.00","68450.00","7.20","0.00","0.00","71936.20","0.00","4.84","95.15","0.01","0.00","0.00"
"Kazakhstan","58958.00","9408.00","740.00","189.60","0.00","0.00","69295.60","85.08","13.58","1.07","0.27","0.00","0.00"
"Kenya","0.00","0.00","13690.00","859.20","1873.70","0.00","16422.90","0.00","0.00","83.36","5.23","11.41","0.00"
"Korea, Dem. Peoples Rep.","19762.00","0.00","2442.00","1742.40","0.00","0.00","23946.40","82.53","0.00","10.20","7.28","0.00","0.00"
"Korea, Rep.","34768.00","11711.00","2368.00","12.00","45.10","344.40","49248.50","70.60","23.78","4.81","0.02","0.09","0.70"
"Kosovo","79458.00","0.00","222.00","67.20","0.00","0.00","79747.20","99.64","0.00","0.28","0.08","0.00","0.00"
"Kuwait","0.00","16513.00","49062.00","0.00","0.00","0.00","65575.00","0.00","25.18","74.82","0.00","0.00","0.00"
